,level_0,level_1,E90,Em90,pop_chg,E10,Em10,div_diff,div_diff_binary,pop_chg_binary
0,10580,NPC,0.126420877462,0.315974108951,0.721017626532,0.314025210974,0.60035523509,0.187604333512,MD,G
1,10580,PC,0.401384838815,0.315974108951,-3.07672112151,0.719012438853,0.60035523509,0.317627600038,MD,L
2,17460,NPC,0.310786369223,0.42763154624,2.17122845085,0.477600055507,0.567675380314,0.166813686283,MD,G
3,17460,PC,0.55208809954,0.42763154624,-18.2400118087,0.677504099287,0.567675380314,0.125415999747,MD,L
4,19820,NPC,0.249395467737,0.491914359406,-2.90984321423,0.466811244361,0.634461641506,0.217415776624,MD,L
5,19820,PC,0.547601078841,0.491914359406,-17.4854489491,0.671843972492,0.634461641506,0.124242893651,MD,L
6,21780,NPC,0.168754310275,0.222260627777,2.74563136691,0.282764160424,0.37051307888,0.114009850149,MD,G
7,21780,PC,0.252079212704,0.222260627777,-7.00313608718,0.42194629582,0.37051307888,0.169867083117,MD,L
8,25420,NPC,0.133567507154,0.426194787943,0.984530424253,0.382734201222,0.62607996263,0.249166694068,MD,G
9,25420,PC,0.59666171723,0.426194787943,-3.65138780987,0.770718036499,0.62607996263,0.17405631927,MD,L
10,37980,NPC,0.346054299452,0.572976781947,4.0211997201,0.594525290267,0.751219158944,0.248470990816,MD,G
11,37980,PC,0.628449990548,0.572976781947,-4.03514162002,0.781388792908,0.751219158944,0.15293880236,MD,L
12,38300,NPC,0.198923377532,0.292915042436,-11.771976273,0.335556289923,0.423591133037,0.136632912391,MD,L
13,38300,PC,0.449812749289,0.292915042436,-17.3502686014,0.591253132034,0.423591133037,0.141440382745,MD,L
14,40380,NPC,0.186964512281,0.503378064927,-1.82072924389,0.320540002081,0.684818212516,0.1335754898,MD,L
15,40380,PC,0.613436918011,0.503378064927,-9.09659983768,0.778091110592,0.684818212516,0.164654192581,MD,L
16,42540,NPC,0.0466769397413,0.0764908720177,-6.32518110578,0.260546649279,0.345600127791,0.213869709538,MD,L
17,42540,PC,0.12515985519,0.0764908720177,-9.07846715328,0.486595294245,0.345600127791,0.361435439055,MD,L
18,45060,NPC,0.109318218838,0.362417814195,-1.87358303797,0.229064143206,0.585930728005,0.119745924368,MD,L
19,45060,PC,0.48565508041,0.362417814195,-11.4060783596,0.756205904067,0.585930728005,0.270550823657,MD,L
20,45780,NPC,0.156041254171,0.383149493877,11.077689468,0.286560807949,0.536071992187,0.130519553778,MD,G
21,45780,PC,0.454062301492,0.383149493877,-13.7365855417,0.626034933632,0.536071992187,0.171972632139,MD,L
22,46540,NPC,0.0600540177915,0.251566343623,-7.70526635301,0.170006280721,0.462540526443,0.10995226293,MD,L
23,46540,PC,0.33434947256,0.251566343623,-15.0698752954,0.59714277171,0.462540526443,0.262793299149,MD,L
24,49660,NPC,0.175576054829,0.373322904691,-8.38976625007,0.287730787516,0.498106023173,0.112154732686,MD,L
25,49660,PC,0.487407463109,0.373322904691,-25.9245862481,0.633991140788,0.498106023173,0.146583677679,MD,L
